"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT03"
"USW00024131","BOISE AIR TERMINAL, ID US","2024-04-01","8.28",,"0.00","0.0","0.0","48","64","34","  300","  300","23.9","34.0",,
"USW00024131","BOISE AIR TERMINAL, ID US","2024-04-02","4.92",,"0.00","0.0","0.0","53","71","39","  120","  120","15.0","19.9",,
"USW00024131","BOISE AIR TERMINAL, ID US","2024-04-03","10.07",,"0.12","0.0","0.0","60","70","44","  300","  270","29.1","38.9","    1","    1"
"USW00024131","BOISE AIR TERMINAL, ID US","2024-04-04","9.40",,"1.09","0.0","0.0","48","52","37","  300","  290","23.9","32.0","    1","    1"
"USW00024131","BOISE AIR TERMINAL, ID US","2024-04-05","7.16",,"1.05","2.1","2.0","37","39","33","  330","  270","15.0","18.1","    1",
"USW00024131","BOISE AIR TERMINAL, ID US","2024-04-06","4.92"," 1428","0.08","0.0","2.0","37","46","33","  250","  270","15.0","19.9",,
"USW00024131","BOISE AIR TERMINAL, ID US","2024-04-07","6.49",,"0.00","0.0","0.0","42","53","36","  350","  340","25.9","35.1",,
"USW00024131","BOISE AIR TERMINAL, ID US","2024-04-08","4.92",,"0.00","0.0","0.0","42","55","31","  310","  330","16.1","23.0",,
"USW00024131","BOISE AIR TERMINAL, ID US","2024-04-09","5.14",,"0.00","0.0","0.0","51","66","40","  270","  260","14.1","19.9",,
"USW00024131","BOISE AIR TERMINAL, ID US","2024-04-10","4.92",,"0.00","0.0","0.0","51","63","38","  320","  330","13.0","17.0",,
"USW00024131","BOISE AIR TERMINAL, ID US","2024-04-11","10.51"," 2309","0.00","0.0","0.0","55","75","42","  130","  140","21.9","29.1",,
"USW00024131","BOISE AIR TERMINAL, ID US","2024-04-12",,,,,,"70",,,,,,,,
